Index: 1, Moving Average: 117.6 
Index: 2, Moving Average: 117.6 
Index: 3, Moving Average: 117.95 
Index: 4, Moving Average: 118.5 
Index: 5, Moving Average: 118.85 
Index: 6, Moving Average: 119.1 
Index: 7, Moving Average: 119.55 
Index: 8, Moving Average: 121.1 
Index: 9, Moving Average: 122.4 
Index: 10, Moving Average: 124.1 
Index: 14, Moving Average: 49.6 
Index: 30, Moving Average: 558.95 
Index: 31, Moving Average: 643.95 
Index: 32, Moving Average: 634.65 
Index: 33, Moving Average: 634.5 
Index: 34, Moving Average: 657.15 
Index: 35, Moving Average: 660.15 
Index: 36, Moving Average: 702.35 
Index: 37, Moving Average: 743.25 
Index: 38, Moving Average: 861.25 
Index: 39, Moving Average: 957.65 
Index: 40, Moving Average: 895.0 
Index: 42, Moving Average: 622.45 
Index: 43, Moving Average: 444.35 
Index: 44, Moving Average: 265.35 
Index: 45, Moving Average: 353.05 
Index: 47, Moving Average: 370.0 
Index: 50, Moving Average: 143.55 
Index: 52, Moving Average: 480.85 
Index: 55, Moving Average: 581.8 
Index: 56, Moving Average: 463.75 
Index: 57, Moving Average: 266.15 
Index: 58, Moving Average: 260.2 
Index: 61, Moving Average: 153.15 
Index: 62, Moving Average: 158.05 
Index: 63, Moving Average: 162.5 
Index: 66, Moving Average: 210.05 
Index: 67, Moving Average: 203.6 
Index: 68, Moving Average: 198.0 
Index: 70, Moving Average: 246.55 
Index: 71, Moving Average: 246.2 
Index: 72, Moving Average: 242.6 
Index: 73, Moving Average: 239.0 
Index: 74, Moving Average: 234.1 
Index: 75, Moving Average: 229.9 
Index: 76, Moving Average: 225.05 
Index: 77, Moving Average: 223.7 
Index: 78, Moving Average: 222.15 
Index: 79, Moving Average: 222.1 
Index: 80, Moving Average: 220.7 
Index: 81, Moving Average: 219.7 
Index: 82, Moving Average: 218.8 
Index: 83, Moving Average: 218.1 
Index: 84, Moving Average: 217.3 
Index: 85, Moving Average: 217.05 
Index: 86, Moving Average: 216.8 
Index: 87, Moving Average: 216.7 
Index: 88, Moving Average: 216.45 
Index: 89, Moving Average: 216.25 
Index: 90, Moving Average: 216.2 
Index: 91, Moving Average: 216.2 
Index: 92, Moving Average: 216.15 
Index: 93, Moving Average: 216.3 
Index: 94, Moving Average: 216.8 
Index: 95, Moving Average: 216.9 
Index: 96, Moving Average: 214.2 
Index: 97, Moving Average: 211.55 
Index: 98, Moving Average: 212.55 
Index: 99, Moving Average: 213.5 
Index: 100, Moving Average: 214.95 
Index: 101, Moving Average: 219.85 
Index: 102, Moving Average: 225.55 
Index: 103, Moving Average: 223.1 
Index: 104, Moving Average: 227.5 
Index: 105, Moving Average: 219.55 
Index: 106, Moving Average: 220.95 
Index: 107, Moving Average: 211.7 
Index: 108, Moving Average: 205.05 
Index: 109, Moving Average: 193.1 
Index: 110, Moving Average: 193.45 
Index: 111, Moving Average: 183.85 
Index: 112, Moving Average: 184.2 
Index: 113, Moving Average: 198.55 
Index: 114, Moving Average: 210.85 
Index: 115, Moving Average: 222.4 
Index: 116, Moving Average: 220.25 
Index: 117, Moving Average: 218.65 
Index: 118, Moving Average: 205.0 
Index: 119, Moving Average: 206.3 
Index: 120, Moving Average: 192.8 
Index: 122, Moving Average: 157.05 
Index: 123, Moving Average: 199.25 
Index: 124, Moving Average: 227.35 
Index: 125, Moving Average: 321.65 
Index: 128, Moving Average: 285.35 
Index: 129, Moving Average: 243.2 
Index: 133, Moving Average: 194.05 
Index: 137, Moving Average: 187.65 
